dataset,synth,regime,n,axis,eps_frac_of_worst,eps_abs,worst_degradation,alpha_star,T,n_seeds
adult,gaussian_copula,fixed,2000,var_ratio,0.05,0.005063711227794221,0.10127422455588442,0.30329668561717954,12,3
adult,gaussian_copula,fixed,2000,var_ratio,0.1,0.010127422455588442,0.10127422455588442,0.2565933712343591,12,3
adult,gaussian_copula,fixed,2000,var_ratio,0.25,0.025318556138971104,0.10127422455588442,0.15351287769845676,12,3
adult,gaussian_copula,fixed,2000,w1,0.05,0.00317481465880808,0.0634962931761616,0.6832978226014805,12,3
adult,gaussian_copula,fixed,2000,w1,0.1,0.00634962931761616,0.0634962931761616,0.6165956452029611,12,3
adult,gaussian_copula,fixed,2000,w1,0.25,0.0158740732940404,0.0634962931761616,0.3579516344934697,12,3
adult,gaussian_copula,fixed,2000,tv_cat,0.05,0.001859635848535101,0.03719271697070202,0.859196331408001,12,3
adult,gaussian_copula,fixed,2000,tv_cat,0.1,0.003719271697070202,0.03719271697070202,0.7187444598887296,12,3
adult,gaussian_copula,fixed,2000,tv_cat,0.25,0.009298179242675505,0.03719271697070202,0.43531954634304987,12,3
adult,gaussian_copula,fixed,2000,corr_frob,0.05,0.004839898297565967,0.09679796595131933,0.836470270950385,12,3
adult,gaussian_copula,fixed,2000,corr_frob,0.1,0.009679796595131934,0.09679796595131933,0.7331429014628905,12,3
adult,gaussian_copula,fixed,2000,corr_frob,0.25,0.024199491487829832,0.09679796595131933,0.62582433897885,12,3
adult,gaussian_copula,fixed,2000,cat_support,0.05,0.00859106529209623,0.17182130584192457,0.6458333333333334,12,3
adult,gaussian_copula,fixed,2000,cat_support,0.1,0.01718213058419246,0.17182130584192457,0.5416666666666669,12,3
adult,gaussian_copula,fixed,2000,cat_support,0.25,0.04295532646048114,0.17182130584192457,0.4426470588235294,12,3
adult,gaussian_copula,fixed,2000,tstr_auc,0.05,0.014074450567954911,0.2814890113590982,0.8312453160408115,12,3
adult,gaussian_copula,fixed,2000,tstr_auc,0.1,0.028148901135909822,0.2814890113590982,0.6870115801263037,12,3
adult,gaussian_copula,fixed,2000,tstr_auc,0.25,0.07037225283977455,0.2814890113590982,0.4408697689317471,12,3
adult,gaussian_copula,fixed,2000,c2st_auc,0.05,0.00083085666085021,0.0166171332170042,0.9122097566124715,12,3
adult,gaussian_copula,fixed,2000,c2st_auc,0.1,0.00166171332170042,0.0166171332170042,0.824419513224943,12,3
adult,gaussian_copula,fixed,2000,c2st_auc,0.25,0.00415428330425105,0.0166171332170042,0.22894469168464932,12,3
adult,gaussian_copula,fixed,8000,var_ratio,0.05,0.005037010270133874,0.10074020540267747,0.9547424386679888,12,3
adult,gaussian_copula,fixed,8000,var_ratio,0.1,0.010074020540267748,0.10074020540267747,0.9094848773359776,12,3
adult,gaussian_copula,fixed,8000,var_ratio,0.25,0.02518505135066937,0.10074020540267747,0.773712193339944,12,3
adult,gaussian_copula,fixed,8000,w1,0.05,0.001479164819324105,0.029583296386482095,0.9228130359770448,12,3
