dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts,sampled_with_replacement,effective_pool_size,_src,sampled_with_replacement.1
adult,gaussian_copula,fixed,0.01,10,7,2000,9.2376,39.65,False,0.0855581261444081,0.8300104521774707,0.105912082295679,0.0686892965726921,0.142889759340301,0.7525773195876289,0.8975,0.9855603475416508,0.3726246737710694,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,8,2000,8.883,39.65,False,0.0587435465934182,0.9066937100222436,0.0846891593821647,0.0738571379215035,0.1685908731922343,0.7525773195876289,0.89825,0.984104370324304,0.3443601323496494,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,9,2000,9.3179,39.65,False,0.0684417335348662,0.8621348013948369,0.0889524650066469,0.0690441196793808,0.1563184682626491,0.7525773195876289,0.8975,0.9858491285083084,0.416456873528667,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,10,2000,9.7393,39.65,False,0.0734302084167426,0.804240451960505,0.0903812118625319,0.06576931315644,0.1778398616077799,0.7216494845360825,0.884,0.984801658222444,0.4137118168074823,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,11,2000,9.4643,39.65,False,0.0814904481584987,0.8056502354967233,0.0988335219963574,0.0674806522940851,0.160985275446457,0.711340206185567,0.89775,0.9846798498810572,0.4124372898927023,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.01,10,12,2000,9.4115,39.65,False,0.0818945691015844,0.780781778851817,0.1026662385842837,0.0662443684355997,0.1605703666172853,0.7010309278350515,0.88225,0.9849295573184004,0.3921235357807064,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,1,2000,9.0872,39.45,False,0.0269285420303868,0.9257842423060092,0.0429987011071422,0.0279645867882808,0.1119847779996933,0.8556701030927835,0.9035,0.9737479658044114,0.5209025495521142,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,2,2000,9.3886,40.02,False,0.045175980002866,0.9967499780348154,0.0638716998778726,0.0343690229408513,0.1024121480357448,0.8556701030927835,0.9065,0.9780112543779436,0.4580077818950369,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,3,2000,8.7214,39.65,False,0.0660870420247711,1.0818844299613712,0.0737314601610232,0.0352204947484798,0.1084831695045489,0.8041237113402062,0.90925,0.9790789555539864,0.4218556238569776,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,4,2000,9.1568,39.65,False,0.0555920955443579,1.0396042603932394,0.0756257940823321,0.0382567716970702,0.1731980344787813,0.7525773195876289,0.88975,0.9794938108652316,0.4143687330050511,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,5,2000,8.9314,39.65,False,0.0525315986280292,0.9701827001982012,0.0688658301682554,0.0401782407407407,0.1676403220297399,0.7422680412371134,0.9055,0.9824664332204416,0.3870099878536558,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,6,2000,8.9835,39.65,False,0.0644516836663255,0.9427732279584804,0.0770242472991569,0.0454504906025428,0.1460658109600798,0.7525773195876289,0.89575,0.9820465705304396,0.4155253106968733,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,7,2000,9.2754,39.65,False,0.0591908917185351,0.91620898571061,0.0814036019427126,0.0451817647871752,0.1564071600667623,0.7319587628865979,0.8885,0.9793799011547708,0.4123327156789069,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,8,2000,9.0791,39.65,False,0.07230334319015,0.8844403788740512,0.0917453681237523,0.0532621268656716,0.1628715484042933,0.711340206185567,0.8885,0.9753878289097186,0.4504499838254179,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,9,2000,9.025,39.65,False,0.0562951832229024,0.8758335258776749,0.0929960123958309,0.0576809355997788,0.1629117591964107,0.7216494845360825,0.87775,0.9854561994635136,0.4204944216377226,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,10,2000,8.9506,39.65,False,0.0744910762998862,0.8999635031249541,0.1002530671488866,0.0629323521282476,0.1793600193415052,0.6907216494845361,0.8865,0.9855492775333454,0.3608290630556939,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,11,2000,8.999,39.65,False,0.0804455796776258,0.8319948411772972,0.0989972523215083,0.0614221254836926,0.1512610539029966,0.6907216494845361,0.86925,0.9836053143248872,0.4611067190669803,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.02,10,12,2000,9.1668,39.65,False,0.098399780590529,0.8413527816882894,0.1158465611839658,0.0780054933665008,0.1649728899714679,0.6907216494845361,0.8715,0.9850553695377908,0.4426262263211526,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,1,2000,8.5571,39.45,False,0.0309472586826068,1.0088416950400876,0.051396631249656,0.0324577805417357,0.0941562914339901,0.9175257731958762,0.8895,0.976291617462786,0.515078487045189,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,2,2000,8.9891,40.02,False,0.0150392381151627,0.8936228987109754,0.0512056325713008,0.0372194582642343,0.1328570601856281,0.8350515463917526,0.88475,0.9765740691746956,0.4259244458845163,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,3,2000,8.9843,39.65,False,0.0331675316645864,0.782107559182654,0.0611947861352133,0.0441836995577667,0.1435901427073367,0.7835051546391752,0.89275,0.976666253993857,0.4461161530379038,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,4,2000,9.1033,39.65,False,0.0301738648359123,0.7938974611236382,0.0577084094404713,0.041525912106136,0.1424619041573025,0.7731958762886598,0.87925,0.9777638970673638,0.4703958268397882,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,5,2000,9.4168,39.65,False,0.0399913722466897,0.7765829249253882,0.073103476056695,0.0431598949695964,0.1502734199676913,0.7525773195876289,0.872,0.9767701337592928,0.3704143879431898,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,6,2000,9.1318,39.65,False,0.0398380770342747,0.7021011600616464,0.0758021682590287,0.0508510917634052,0.1559803221243451,0.7422680412371134,0.886,0.9798098157273142,0.4011532077140234,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,7,2000,9.1964,39.65,False,0.0332190368752564,0.6750909200822308,0.0816998099943091,0.0492538349917081,0.185475242347586,0.7525773195876289,0.87025,0.979096522442166,0.4098669606196458,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,8,2000,9.293,39.65,False,0.0524484172799081,0.7014068131242785,0.0841828865687304,0.0465853372028745,0.1534135343307464,0.7422680412371134,0.869,0.9821925393899528,0.4191010931709695,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,9,2000,9.6874,39.65,False,0.0593691492385133,0.6810973365693842,0.0866930362594461,0.0462694859038142,0.1683663786121108,0.7525773195876289,0.877,0.97875765418793,0.4977977785158801,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,10,2000,10.2117,39.65,False,0.0495550572320246,0.7108865241401392,0.0794907674332361,0.054503178551686,0.1762668361512003,0.7422680412371134,0.863,0.9835544586617324,0.4126909233385124,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,11,2000,9.2473,39.65,False,0.0539871898099309,0.6839418276002394,0.0853992899164707,0.0546891238253178,0.1748943809685742,0.7422680412371134,0.864,0.983210314153538,0.4809297283574977,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.05,10,12,2000,8.9973,39.65,False,0.0464231103964976,0.6864874774658208,0.0896834715348465,0.0587268864013267,0.1690448865099192,0.7422680412371134,0.861,0.9872276539175474,0.4051197830416161,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,1,2000,8.8776,39.45,False,0.0214218844780242,0.8365261423443687,0.0445063404546494,0.0307676893311221,0.1645129324677431,0.8969072164948454,0.88225,0.9749421137003208,0.5625185627424958,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,2,2000,9.2079,40.02,False,0.0240552635416505,0.7838266274426386,0.0483911630973262,0.0379131426202321,0.1491623061165763,0.8762886597938144,0.8965,0.9754661694684936,0.5343147989362409,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,3,2000,9.059,39.65,False,0.0415969734008964,0.7848785531657244,0.0582098342546416,0.0425826423438363,0.1805119457281305,0.845360824742268,0.8975,0.9763571453869484,0.5259470588289288,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,4,2000,8.9023,39.65,False,0.0432691399092654,0.7318020667860713,0.0652004595817313,0.0446725746268656,0.1633097502977023,0.8041237113402062,0.8745,0.975193284763762,0.5114729714012145,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,5,2000,8.9096,39.65,False,0.0301159455054231,0.7718746373774922,0.051898444867565,0.045656820066335,0.1680905702966373,0.8247422680412371,0.8865,0.9726015798193351,0.514561221678582,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,6,2000,9.6114,39.65,False,0.03056179795035,0.7987522223574661,0.0527682153174847,0.0512758775566611,0.166499455014975,0.7938144329896907,0.879,0.9753402604990304,0.52278973711944,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,7,2000,9.0213,39.65,False,0.041093112451155,0.7881012326221558,0.0642509553669175,0.0476814883913764,0.1647586158191844,0.7731958762886598,0.8885,0.98051792050857,0.4813250778930374,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,8,2000,8.7778,39.65,False,0.0437925212797241,0.8581362202807878,0.071808727373348,0.0547334508015478,0.1919523689399118,0.7731958762886598,0.8805,0.9757042657721252,0.5082254667255341,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,9,2000,8.7584,39.65,False,0.0511903109881214,0.8486849327181548,0.0666370501658221,0.0580831260364842,0.1675075289087094,0.7835051546391752,0.88825,0.9731005323186744,0.5522410811308387,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,10,2000,9.3387,39.65,False,0.0525393264278268,0.8220121736995797,0.0667535565849963,0.0528785240464345,0.1879511594130577,0.7731958762886598,0.8815,0.9800005359954022,0.5148188545143868,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,11,2000,9.5744,39.65,False,0.0457700586054125,0.849955188526959,0.0718331370425474,0.0521289386401326,0.1786491978369185,0.7835051546391752,0.87875,0.9814134954304748,0.4165957703762691,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.1,10,12,2000,9.0636,39.65,False,0.0709289531819278,0.8084241003693718,0.0831180929175593,0.053419534273079,0.1802071351928946,0.7628865979381443,0.87325,0.9789039155476624,0.4875960558409255,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.2,10,0,2000,10.4711,39.26,True,0.0158495252855037,0.9637952890324804,0.0268646726081282,0.0285482310668877,0.1160754928460546,0.9072164948453608,0.91125,0.9715974018159508,0.6729243788783429,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.2,10,1,2000,8.6943,39.45,False,0.0308206553273765,0.8869316500777815,0.042077090302926,0.0311829049198452,0.1291964018419793,0.8969072164948454,0.8995,0.9732370680461104,0.5721970865296218,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.2,10,2,2000,8.5367,40.02,False,0.0367956938898637,0.7981776194784276,0.0536821078852918,0.0319567786069651,0.1381512268675948,0.8865979381443299,0.88825,0.9719096041751806,0.5943262686622355,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
adult,gaussian_copula,fixed,0.2,10,3,2000,9.1863,39.65,False,0.0377939600666776,0.7604614555642429,0.0580363927213208,0.0356715381426202,0.164469689819308,0.845360824742268,0.88025,0.9752359526707736,0.5200473029490715,0.8987919940866724,0,,ok,,2026-07-20T22:35:19.433604+00:00,False,20000.0,,
