dataset,synth,regime,alpha,seed,generation,n,wallclock_sec,peak_mem_mb,gen0_shared,mean_shift,var_ratio,w1,tv_cat,corr_frob,cat_support,coverage,c2st_auc,tstr_auc,trtr_auc,n_nan_metrics,ctgan_lost_support,status,error,run_ts
credit-g,gaussian_copula,fresh,1.0,2,2,2000,3.774,24.21,False,0.0505922662120107,0.9337855362466708,0.0870464558996881,0.0442307692307692,0.1355854303894432,1.0,0.925,0.53445403016577,0.6939285714285715,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,3,2000,3.0418,24.21,False,0.0451994211153907,0.9300488642928536,0.0869020813231031,0.041576923076923,0.1436138048700381,1.0,0.915,0.53916757235982,0.6802380952380952,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,1.0,2,4,2000,3.1559,24.21,False,0.047878446472044,0.925373343337147,0.0841352390471954,0.0458461538461538,0.1174401898503484,1.0,0.915,0.5825131466142827,0.6573809523809524,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
credit-g,gaussian_copula,fresh,0.75,2,11,2000,3.9817,24.21,False,0.0378474529038914,0.9664127357941628,0.0764705121576898,0.0346538461538461,0.1401001438590097,1.0,0.95,0.6024603351402193,0.6545238095238095,0.804404761904762,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,11,2000,17.4582,39.8,False,0.0382361387324044,1.066694654618988,0.0741207211758893,0.0438086180839691,0.459636452121863,0.9772727272727272,0.8695,0.9677386297959072,0.5999799363882895,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.0,0,12,2000,15.7454,39.8,False,0.0622546103614465,1.1208426315319429,0.0848667729997958,0.0424099426198287,0.4724362085546171,0.9772727272727272,0.87375,0.9672028380189291,0.5885965296462057,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.01,0,0,2000,16.9364,39.34,True,0.0173965683858213,1.0395661345971443,0.0330623055426054,0.0182281076830452,0.1450663447476722,1.0,0.905,0.8984456641838596,0.734570372378266,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,7,2000,14.4052,39.8,False,0.0331569575007228,0.9245801500010437,0.0701535031616206,0.0267167422315603,0.4630768190886787,1.0,0.86525,0.954071517667156,0.6398467471499609,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,8,2000,14.4887,39.8,False,0.0469302096526898,0.8753317272677722,0.0757049376888033,0.0294549682381707,0.4735505312034236,1.0,0.86825,0.9549933827337854,0.6312612968787175,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,9,2000,15.2331,39.8,False,0.0406026934086615,0.8847475377319298,0.0670580832459383,0.0280155000184304,0.4658663485620532,1.0,0.8665,0.958344562248008,0.5979989062668307,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,10,2000,14.8573,39.8,False,0.0580697531419434,0.8444144502789496,0.087417886165691,0.0322336613955545,0.4917328668352779,1.0,0.85675,0.9608845542786368,0.5836441910813399,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,11,2000,15.2985,39.8,False,0.0540028953027186,0.8374594553848763,0.0893316448158147,0.0327198201186921,0.4773008138190362,1.0,0.86075,0.9657058038957794,0.5821735697722454,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,12,2000,14.4139,39.8,False,0.0681714196561092,0.8156578763078057,0.1000689990850067,0.0441178505166672,0.4759081903168249,1.0,0.85025,0.9649778957246664,0.5645512083739241,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.02,0,6,2000,15.5677,39.8,False,0.0291367907000336,0.950052853011503,0.0678826595614248,0.0328782545123914,0.4615238410026882,1.0,0.861,0.942749850048075,0.6238604282841292,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
bank-marketing,gaussian_copula,fixed,0.05,0,0,2000,16.9364,39.34,True,0.0173965683858213,1.0395661345971443,0.0330623055426054,0.0182281076830452,0.1450663447476722,1.0,0.905,0.8984456641838596,0.734570372378266,0.8995903827237507,0,,ok,,2026-07-20T16:41:33.067887+00:00
